method,model,n_known_anomalies,roc_auc,pr_auc,train_time_sec,inference_time_sec,total_time_sec,representation,k_per_class,dataset,encoder,date
DevNet (Original),DevNet,5,0.09249999999999999,0.028473018959452367,0.3827584599999909,0.003889307999997982,0.3866477679999889,Original,0,20_newsgroups,distiluse-base-multilingual-cased-v2,20260222_211555
DevNet (Original),DevNet,10,0.133,0.029161088105706272,0.0917549370000188,0.00417848399996501,0.09593342099998381,Original,0,20_newsgroups,distiluse-base-multilingual-cased-v2,20260222_211555
DevNet (Original),DevNet,20,0.242,0.032611445383275275,0.098833194000008,0.004674689000012222,0.10350788300002023,Original,0,20_newsgroups,distiluse-base-multilingual-cased-v2,20260222_211555
"DevNet (SetFit, k=20)",DevNet,5,0.9944999999999999,0.9081593406593406,0.10109373900002083,0.00476049899998543,0.10585423800000626,SetFit,20,20_newsgroups,distiluse-base-multilingual-cased-v2,20260222_211555
"DevNet (SetFit, k=20)",DevNet,10,0.994,0.9073260073260072,0.06757320300005176,0.002964068000039788,0.07053727100009155,SetFit,20,20_newsgroups,distiluse-base-multilingual-cased-v2,20260222_211555
"DevNet (SetFit, k=20)",DevNet,20,0.9944999999999999,0.9133866133866134,0.06880916899996237,0.002829817999952411,0.07163898699991478,SetFit,20,20_newsgroups,distiluse-base-multilingual-cased-v2,20260222_211555
DeepSAD (Original),DeepSAD,5,0.8325,0.285081874647092,0.9639191819999837,0.004610787000046912,0.9685299690000306,Original,0,20_newsgroups,distiluse-base-multilingual-cased-v2,20260222_211555
DeepSAD (Original),DeepSAD,10,0.883,0.3668122291651703,1.1829322739999952,0.01069559699999445,1.1936278709999897,Original,0,20_newsgroups,distiluse-base-multilingual-cased-v2,20260222_211555
DeepSAD (Original),DeepSAD,20,0.9865,0.8826388888888889,2.288166187999991,0.009270022000009703,2.2974362100000008,Original,0,20_newsgroups,distiluse-base-multilingual-cased-v2,20260222_211555
"DeepSAD (SetFit, k=20)",DeepSAD,5,0.94,0.5758997333873308,2.073859714999969,0.0058893140000009225,2.07974902899997,SetFit,20,20_newsgroups,distiluse-base-multilingual-cased-v2,20260222_211555
"DeepSAD (SetFit, k=20)",DeepSAD,10,0.973,0.870415982484948,1.7637066850000451,0.009815706000040336,1.7735223910000855,SetFit,20,20_newsgroups,distiluse-base-multilingual-cased-v2,20260222_211555
"DeepSAD (SetFit, k=20)",DeepSAD,20,0.9630000000000001,0.8940133037694012,1.2980681759999584,0.004546242000003531,1.302614417999962,SetFit,20,20_newsgroups,distiluse-base-multilingual-cased-v2,20260222_211555
MLP (Original),MLP,5,0.9635,0.5709654818865345,10.898483467999995,0.7421690499999727,11.640652517999968,Original,0,20_newsgroups,distiluse-base-multilingual-cased-v2,20260222_211555
MLP (Original),MLP,10,0.9830000000000001,0.7345063732563731,6.09375606399999,0.26299177199996393,6.356747835999954,Original,0,20_newsgroups,distiluse-base-multilingual-cased-v2,20260222_211555
MLP (Original),MLP,20,0.999,0.9809090909090908,4.3255764580000005,0.26589128599999867,4.591467743999999,Original,0,20_newsgroups,distiluse-base-multilingual-cased-v2,20260222_211555
"MLP (SetFit, k=20)",MLP,5,0.9734999999999999,0.7139844877344877,3.0580171809999683,0.2613556039999594,3.3193727849999277,SetFit,20,20_newsgroups,distiluse-base-multilingual-cased-v2,20260222_211555
"MLP (SetFit, k=20)",MLP,10,0.98,0.6788876863876864,3.0993841239999824,0.26001742599999034,3.3594015499999728,SetFit,20,20_newsgroups,distiluse-base-multilingual-cased-v2,20260222_211555
"MLP (SetFit, k=20)",MLP,20,0.9885,0.8862678062678063,3.8484994489999735,0.375504469999953,4.2240039189999266,SetFit,20,20_newsgroups,distiluse-base-multilingual-cased-v2,20260222_211555
