method,model,n_known_anomalies,roc_auc,pr_auc,train_time_sec,inference_time_sec,total_time_sec,representation,k_per_class,dataset,encoder,date
DevNet (Original),DevNet,5,0.4767590402788883,0.04389752874869171,0.6641557560001274,0.08336140599976716,0.7475171619998946,Original,0,portuguese-tweets-for-sentiment-analysis,distiluse-base-multilingual-cased-v2,20260220_005320
DevNet (Original),DevNet,10,0.4816014105161438,0.04801149123883763,0.7368780629999492,0.12488800399978572,0.8617660669997349,Original,0,portuguese-tweets-for-sentiment-analysis,distiluse-base-multilingual-cased-v2,20260220_005320
DevNet (Original),DevNet,20,0.47867413742925524,0.04611298797666642,0.8381200819999322,0.15801204499985033,0.9961321269997825,Original,0,portuguese-tweets-for-sentiment-analysis,distiluse-base-multilingual-cased-v2,20260220_005320
DevNet (Original),DevNet,50,0.4848776394198574,0.04733735855654094,1.1760196069999438,0.17581447899965497,1.3518340859995988,Original,0,portuguese-tweets-for-sentiment-analysis,distiluse-base-multilingual-cased-v2,20260220_005320
DevNet (Original),DevNet,100,0.47037956911569917,0.043351933511230005,1.2383422589996371,0.20102258999986589,1.439364848999503,Original,0,portuguese-tweets-for-sentiment-analysis,distiluse-base-multilingual-cased-v2,20260220_005320
DevNet (Original),DevNet,200,0.4675015862341561,0.043895920077978386,1.1433766830000422,0.1653838590000305,1.3087605420000727,Original,0,portuguese-tweets-for-sentiment-analysis,distiluse-base-multilingual-cased-v2,20260220_005320
DevNet (Original),DevNet,500,0.47586035739480226,0.046070586539007516,1.201992971999971,0.1795877580002525,1.3815807300002234,Original,0,portuguese-tweets-for-sentiment-analysis,distiluse-base-multilingual-cased-v2,20260220_005320
"DevNet (SetFit, k=40)",DevNet,5,0.9847435826193318,0.5756435831772788,1.7832095769999796,0.38396053399992525,2.167170110999905,SetFit,40,portuguese-tweets-for-sentiment-analysis,distiluse-base-multilingual-cased-v2,20260220_005320
"DevNet (SetFit, k=40)",DevNet,10,0.1456723356681821,0.026104406941508007,2.448880423999981,0.2524446940001326,2.7013251180001134,SetFit,40,portuguese-tweets-for-sentiment-analysis,distiluse-base-multilingual-cased-v2,20260220_005320
"DevNet (SetFit, k=40)",DevNet,20,0.9785099413948876,0.48717014554398286,1.7687153669999134,0.28599020799993013,2.0547055749998435,SetFit,40,portuguese-tweets-for-sentiment-analysis,distiluse-base-multilingual-cased-v2,20260220_005320
"DevNet (SetFit, k=40)",DevNet,50,0.9568782911807893,0.3384754313990387,1.3637485039998865,0.1596899010000925,1.523438404999979,SetFit,40,portuguese-tweets-for-sentiment-analysis,distiluse-base-multilingual-cased-v2,20260220_005320
"DevNet (SetFit, k=40)",DevNet,100,0.9804443464919343,0.514230924341478,0.9802808010003901,0.18058821400018132,1.1608690150005714,SetFit,40,portuguese-tweets-for-sentiment-analysis,distiluse-base-multilingual-cased-v2,20260220_005320
"DevNet (SetFit, k=40)",DevNet,200,0.9843878768699277,0.5630116566228976,1.180289131000336,0.1472420170002806,1.3275311480006167,SetFit,40,portuguese-tweets-for-sentiment-analysis,distiluse-base-multilingual-cased-v2,20260220_005320
"DevNet (SetFit, k=40)",DevNet,500,0.9843580515864383,0.5689216377009693,1.0315613859997939,0.21911098799955653,1.2506723739993504,SetFit,40,portuguese-tweets-for-sentiment-analysis,distiluse-base-multilingual-cased-v2,20260220_005320
DeepSAD (Original),DeepSAD,5,0.5815478191909688,0.08013469261761262,32.546719762000066,0.13116978800007928,32.677889550000145,Original,0,portuguese-tweets-for-sentiment-analysis,distiluse-base-multilingual-cased-v2,20260220_005320
DeepSAD (Original),DeepSAD,10,0.5854508499734868,0.08390858901763053,27.02370550400019,0.09025744299970029,27.11396294699989,Original,0,portuguese-tweets-for-sentiment-analysis,distiluse-base-multilingual-cased-v2,20260220_005320
DeepSAD (Original),DeepSAD,20,0.6251454767445985,0.10830068681911394,29.951285654999992,0.08746136999980081,30.038747024999793,Original,0,portuguese-tweets-for-sentiment-analysis,distiluse-base-multilingual-cased-v2,20260220_005320
DeepSAD (Original),DeepSAD,50,0.6362618308265968,0.1707246027784421,27.265855227999964,0.09106171200028257,27.356916940000247,Original,0,portuguese-tweets-for-sentiment-analysis,distiluse-base-multilingual-cased-v2,20260220_005320
DeepSAD (Original),DeepSAD,100,0.6784897229921855,0.21034337610746623,30.226997484000094,0.0871847219996198,30.314182205999714,Original,0,portuguese-tweets-for-sentiment-analysis,distiluse-base-multilingual-cased-v2,20260220_005320
DeepSAD (Original),DeepSAD,200,0.8174419513646951,0.41772816087661624,26.950590508000005,0.08885126699988177,27.039441774999887,Original,0,portuguese-tweets-for-sentiment-analysis,distiluse-base-multilingual-cased-v2,20260220_005320
DeepSAD (Original),DeepSAD,500,0.8069839511719296,0.4255208694056496,26.962065418000293,0.08826998100039418,27.050335399000687,Original,0,portuguese-tweets-for-sentiment-analysis,distiluse-base-multilingual-cased-v2,20260220_005320
"DeepSAD (SetFit, k=40)",DeepSAD,5,0.9995909226906675,0.9904921331556364,27.08411113200009,0.08755771500000264,27.17166884700009,SetFit,40,portuguese-tweets-for-sentiment-analysis,distiluse-base-multilingual-cased-v2,20260220_005320
"DeepSAD (SetFit, k=40)",DeepSAD,10,0.9987646053628372,0.9583419581270972,27.949057952000203,0.10952942099993379,28.058587373000137,SetFit,40,portuguese-tweets-for-sentiment-analysis,distiluse-base-multilingual-cased-v2,20260220_005320
"DeepSAD (SetFit, k=40)",DeepSAD,20,0.9994826098190485,0.9812834132146263,27.3950676620002,0.1140328600004068,27.509100522000608,SetFit,40,portuguese-tweets-for-sentiment-analysis,distiluse-base-multilingual-cased-v2,20260220_005320
"DeepSAD (SetFit, k=40)",DeepSAD,50,0.9996518290590563,0.9890898152864737,27.47994992699978,0.13499843599993255,27.614948362999712,SetFit,40,portuguese-tweets-for-sentiment-analysis,distiluse-base-multilingual-cased-v2,20260220_005320
"DeepSAD (SetFit, k=40)",DeepSAD,100,0.9997890253631072,0.9950302746480282,27.165224748000128,0.08923803300012878,27.254462781000257,SetFit,40,portuguese-tweets-for-sentiment-analysis,distiluse-base-multilingual-cased-v2,20260220_005320
"DeepSAD (SetFit, k=40)",DeepSAD,200,0.9996904449524161,0.9883897274805621,27.08834195899999,0.08692816900020262,27.175270128000193,SetFit,40,portuguese-tweets-for-sentiment-analysis,distiluse-base-multilingual-cased-v2,20260220_005320
"DeepSAD (SetFit, k=40)",DeepSAD,500,0.9982908542808858,0.992992890271827,27.081124966999596,0.0888737539999056,27.1699987209995,SetFit,40,portuguese-tweets-for-sentiment-analysis,distiluse-base-multilingual-cased-v2,20260220_005320
MLP (Original),MLP,5,0.7240979186033479,0.12496560286812744,10.445044283999778,0.6613942109997879,11.106438494999566,Original,0,portuguese-tweets-for-sentiment-analysis,distiluse-base-multilingual-cased-v2,20260220_005320
MLP (Original),MLP,10,0.7474344762068016,0.1885775591589981,9.282929426999544,0.7186566350001158,10.00158606199966,Original,0,portuguese-tweets-for-sentiment-analysis,distiluse-base-multilingual-cased-v2,20260220_005320
MLP (Original),MLP,20,0.7461620354280415,0.2103596581837735,9.226241459999983,0.47388517299987143,9.700126632999854,Original,0,portuguese-tweets-for-sentiment-analysis,distiluse-base-multilingual-cased-v2,20260220_005320
MLP (Original),MLP,50,0.8259801451518058,0.28859538890700703,9.609076204000303,0.4817427969992423,10.090819000999545,Original,0,portuguese-tweets-for-sentiment-analysis,distiluse-base-multilingual-cased-v2,20260220_005320
MLP (Original),MLP,100,0.8435827135168499,0.3268910564271479,9.731096106000223,0.48640149499988183,10.217497601000105,Original,0,portuguese-tweets-for-sentiment-analysis,distiluse-base-multilingual-cased-v2,20260220_005320
MLP (Original),MLP,200,0.8565545141822365,0.41528467927825463,8.858341047000067,0.6730760659993393,9.531417112999407,Original,0,portuguese-tweets-for-sentiment-analysis,distiluse-base-multilingual-cased-v2,20260220_005320
MLP (Original),MLP,500,0.882547719668707,0.47470684137580876,9.143478447000234,0.46959767899988947,9.613076126000124,Original,0,portuguese-tweets-for-sentiment-analysis,distiluse-base-multilingual-cased-v2,20260220_005320
"MLP (SetFit, k=40)",MLP,5,0.9995849576339696,0.9875048617756228,10.14474816100028,0.48911666900039563,10.633864830000675,SetFit,40,portuguese-tweets-for-sentiment-analysis,distiluse-base-multilingual-cased-v2,20260220_005320
"MLP (SetFit, k=40)",MLP,10,0.9997281189947184,0.9921763409393944,9.675566457999594,0.4656903759996567,10.14125683399925,SetFit,40,portuguese-tweets-for-sentiment-analysis,distiluse-base-multilingual-cased-v2,20260220_005320
