method,model,n_known_anomalies,roc_auc,pr_auc,train_time_sec,inference_time_sec,total_time_sec,representation,k_per_class,dataset,encoder,date
DevNet (Original),DevNet,5,0.5169303509729042,0.05188177450337407,0.24827353900036542,0.045042155000373896,0.2933156940007393,Original,0,told-br,distiluse-base-multilingual-cased-v2,20260220_011652
DevNet (Original),DevNet,10,0.5287543189670849,0.05359130308597227,0.32490003099974274,0.036884897999698296,0.36178492899944104,Original,0,told-br,distiluse-base-multilingual-cased-v2,20260220_011652
DevNet (Original),DevNet,20,0.5172722313147844,0.05109044412864018,0.23921775899998465,0.03985820700017939,0.27907596600016404,Original,0,told-br,distiluse-base-multilingual-cased-v2,20260220_011652
DevNet (Original),DevNet,50,0.520661938534279,0.051121585157605114,0.3126138950001405,0.02591253999980836,0.33852643499994883,Original,0,told-br,distiluse-base-multilingual-cased-v2,20260220_011652
DevNet (Original),DevNet,100,0.5222222222222223,0.05199818253674125,0.2444134639999902,0.04263600500053144,0.28704946900052164,Original,0,told-br,distiluse-base-multilingual-cased-v2,20260220_011652
DevNet (Original),DevNet,200,0.5369339879978177,0.053833276199268934,0.36088294599994697,0.04079154800001561,0.4016744939999626,Original,0,told-br,distiluse-base-multilingual-cased-v2,20260220_011652
"DevNet (SetFit, k=40)",DevNet,5,0.6075904709947263,0.08058959793576362,0.34952368999984174,0.04949619800026994,0.3990198880001117,SetFit,40,told-br,distiluse-base-multilingual-cased-v2,20260220_011652
"DevNet (SetFit, k=40)",DevNet,10,0.6040189125295508,0.0792205582822142,0.49365012100042804,0.10808872500001598,0.601738846000444,SetFit,40,told-br,distiluse-base-multilingual-cased-v2,20260220_011652
"DevNet (SetFit, k=40)",DevNet,20,0.5874559010729223,0.07815417560865782,0.41388288299913256,0.042811649999748624,0.4566945329988812,SetFit,40,told-br,distiluse-base-multilingual-cased-v2,20260220_011652
"DevNet (SetFit, k=40)",DevNet,50,0.6055464629932716,0.07875423379628388,0.48919801600004575,0.08414231299957464,0.5733403289996204,SetFit,40,told-br,distiluse-base-multilingual-cased-v2,20260220_011652
"DevNet (SetFit, k=40)",DevNet,100,0.5874922713220585,0.07795800178817186,0.4201109550003821,0.05659981400003744,0.47671076900041953,SetFit,40,told-br,distiluse-base-multilingual-cased-v2,20260220_011652
"DevNet (SetFit, k=40)",DevNet,200,0.5799163484269867,0.07713830176067774,0.472954617999676,0.08048957600021822,0.5534441939998942,SetFit,40,told-br,distiluse-base-multilingual-cased-v2,20260220_011652
DeepSAD (Original),DeepSAD,5,0.5205455537370431,0.04775330910838638,20.972772936000183,0.04560800299987022,21.018380939000053,Original,0,told-br,distiluse-base-multilingual-cased-v2,20260220_011652
DeepSAD (Original),DeepSAD,10,0.4675140934715402,0.04311482648941247,10.544851621999442,0.033845232000203396,10.578696853999645,Original,0,told-br,distiluse-base-multilingual-cased-v2,20260220_011652
DeepSAD (Original),DeepSAD,20,0.5292562284051645,0.05067294481437329,8.41738044899921,0.029209675999481988,8.446590124998693,Original,0,told-br,distiluse-base-multilingual-cased-v2,20260220_011652
DeepSAD (Original),DeepSAD,50,0.5389707219494454,0.061284813081847814,8.638194387000112,0.027649250999274955,8.665843637999387,Original,0,told-br,distiluse-base-multilingual-cased-v2,20260220_011652
DeepSAD (Original),DeepSAD,100,0.5680487361338425,0.0682662261879287,8.021232013000372,0.026553671000328904,8.0477856840007,Original,0,told-br,distiluse-base-multilingual-cased-v2,20260220_011652
DeepSAD (Original),DeepSAD,200,0.6016075650118203,0.08859388271666772,8.680008963000546,0.028054263999365503,8.708063226999911,Original,0,told-br,distiluse-base-multilingual-cased-v2,20260220_011652
"DeepSAD (SetFit, k=40)",DeepSAD,5,0.5622004000727404,0.08261872550320357,8.657871702999728,0.028881827000077465,8.686753529999805,SetFit,40,told-br,distiluse-base-multilingual-cased-v2,20260220_011652
"DeepSAD (SetFit, k=40)",DeepSAD,10,0.5865902891434805,0.0638463626539237,7.943837103999613,0.026194346000011137,7.970031449999624,SetFit,40,told-br,distiluse-base-multilingual-cased-v2,20260220_011652
"DeepSAD (SetFit, k=40)",DeepSAD,20,0.5920603746135661,0.06029576372845181,8.63940650099994,0.027596387000812683,8.667002888000752,SetFit,40,told-br,distiluse-base-multilingual-cased-v2,20260220_011652
"DeepSAD (SetFit, k=40)",DeepSAD,50,0.5644808146935807,0.07378604484467235,8.3781821700004,0.03863394600011816,8.416816116000518,SetFit,40,told-br,distiluse-base-multilingual-cased-v2,20260220_011652
"DeepSAD (SetFit, k=40)",DeepSAD,100,0.6087652300418258,0.07548079564246324,9.446391473000403,0.05385049500000605,9.50024196800041,SetFit,40,told-br,distiluse-base-multilingual-cased-v2,20260220_011652
"DeepSAD (SetFit, k=40)",DeepSAD,200,0.6729514457174033,0.1448445637622782,9.33686764400045,0.027728017000299587,9.364595661000749,SetFit,40,told-br,distiluse-base-multilingual-cased-v2,20260220_011652
MLP (Original),MLP,5,0.5294198945262775,0.048957224423609724,5.049258994999946,0.597597188000691,5.6468561830006365,Original,0,told-br,distiluse-base-multilingual-cased-v2,20260220_011652
MLP (Original),MLP,10,0.6188761593016913,0.07931268764473842,6.281889898999907,0.45852315399952204,6.740413052999429,Original,0,told-br,distiluse-base-multilingual-cased-v2,20260220_011652
MLP (Original),MLP,20,0.5746172031278414,0.07290502753194016,5.403083146999961,0.4711886149998463,5.8742717619998075,Original,0,told-br,distiluse-base-multilingual-cased-v2,20260220_011652
