method,model,n_known_anomalies,roc_auc,pr_auc,train_time_sec,inference_time_sec,total_time_sec,representation,k_per_class,dataset,encoder,date
DevNet (Original),DevNet,5,0.3572189034127876,0.034793244708789986,0.13390301999970688,0.018612775999827136,0.15251579599953402,Original,0,wikinews,distiluse-base-multilingual-cased-v2,20260220_010130
DevNet (Original),DevNet,10,0.3288578695215,0.03339975916289824,0.20467216199995164,0.01848724800038326,0.2231594100003349,Original,0,wikinews,distiluse-base-multilingual-cased-v2,20260220_010130
DevNet (Original),DevNet,20,0.38583131247412317,0.03805923444034642,0.22551240399934613,0.025438589000259526,0.25095099299960566,Original,0,wikinews,distiluse-base-multilingual-cased-v2,20260220_010130
DevNet (Original),DevNet,50,0.42927485656828535,0.040579374102027235,0.14631701500002237,0.013369048999265942,0.1596860639992883,Original,0,wikinews,distiluse-base-multilingual-cased-v2,20260220_010130
DevNet (Original),DevNet,100,0.4018897498077719,0.038348371179515395,0.15790898999966885,0.01905967899983807,0.17696866899950692,Original,0,wikinews,distiluse-base-multilingual-cased-v2,20260220_010130
DevNet (Original),DevNet,200,0.41987046785355175,0.04366000512536522,0.19574100200043176,0.021937657999842486,0.21767866000027425,Original,0,wikinews,distiluse-base-multilingual-cased-v2,20260220_010130
"DevNet (SetFit, k=40)",DevNet,5,0.8111433134204766,0.3081026704153471,0.14619331199992303,0.013303489000463742,0.15949680100038677,SetFit,40,wikinews,distiluse-base-multilingual-cased-v2,20260220_010130
"DevNet (SetFit, k=40)",DevNet,10,0.7933252498964926,0.28673775589105577,0.16965516000072967,0.020188314000733953,0.18984347400146362,SetFit,40,wikinews,distiluse-base-multilingual-cased-v2,20260220_010130
"DevNet (SetFit, k=40)",DevNet,20,0.8280150233631041,0.29421166864197795,0.32472952399984933,0.02083280199985893,0.34556232599970826,SetFit,40,wikinews,distiluse-base-multilingual-cased-v2,20260220_010130
"DevNet (SetFit, k=40)",DevNet,50,0.822736144792098,0.2988220065952269,0.2275146849997327,0.02200531000016781,0.24951999499990052,SetFit,40,wikinews,distiluse-base-multilingual-cased-v2,20260220_010130
"DevNet (SetFit, k=40)",DevNet,100,0.689167208848406,0.20773286850557113,0.236605743999462,0.03607783000006748,0.27268357399952947,SetFit,40,wikinews,distiluse-base-multilingual-cased-v2,20260220_010130
"DevNet (SetFit, k=40)",DevNet,200,0.09552256461820546,0.025568073641924958,0.32986689999961527,0.018920646999504243,0.3487875469991195,SetFit,40,wikinews,distiluse-base-multilingual-cased-v2,20260220_010130
DeepSAD (Original),DeepSAD,5,0.6096735080144319,0.08929970928750605,10.47000483300053,0.02356893899923307,10.493573771999763,Original,0,wikinews,distiluse-base-multilingual-cased-v2,20260220_010130
DeepSAD (Original),DeepSAD,10,0.681566806648134,0.15750549514102594,7.781941969999934,0.047120795999944676,7.829062765999879,Original,0,wikinews,distiluse-base-multilingual-cased-v2,20260220_010130
DeepSAD (Original),DeepSAD,20,0.721609392559295,0.16838014094761228,8.950070758000038,0.014013720000548346,8.964084478000586,Original,0,wikinews,distiluse-base-multilingual-cased-v2,20260220_010130
DeepSAD (Original),DeepSAD,50,0.7348287691488732,0.2960780166013602,3.9833121940000638,0.014013462000548316,3.997325656000612,Original,0,wikinews,distiluse-base-multilingual-cased-v2,20260220_010130
DeepSAD (Original),DeepSAD,100,0.7930886615011533,0.380673716859647,4.126695998999821,0.01861004599959415,4.1453060449994155,Original,0,wikinews,distiluse-base-multilingual-cased-v2,20260220_010130
DeepSAD (Original),DeepSAD,200,0.8682941976696043,0.5457758988401819,4.510786967000058,0.014072758000111207,4.524859725000169,Original,0,wikinews,distiluse-base-multilingual-cased-v2,20260220_010130
"DeepSAD (SetFit, k=40)",DeepSAD,5,0.7637517004790915,0.3509131058524135,3.95614524299981,0.013848040000084438,3.9699932829998943,SetFit,40,wikinews,distiluse-base-multilingual-cased-v2,20260220_010130
"DeepSAD (SetFit, k=40)",DeepSAD,10,0.7578961376944461,0.14109397916132432,4.107522817000245,0.020548726999550126,4.128071543999795,SetFit,40,wikinews,distiluse-base-multilingual-cased-v2,20260220_010130
"DeepSAD (SetFit, k=40)",DeepSAD,20,0.8723162003903708,0.4098481754172913,4.68271126899981,0.014398786000128894,4.697110054999939,SetFit,40,wikinews,distiluse-base-multilingual-cased-v2,20260220_010130
"DeepSAD (SetFit, k=40)",DeepSAD,50,0.9223546460046135,0.5098324617789762,3.9559691250005926,0.014026812000338396,3.969995937000931,SetFit,40,wikinews,distiluse-base-multilingual-cased-v2,20260220_010130
"DeepSAD (SetFit, k=40)",DeepSAD,100,0.9160998403028332,0.4777405774988107,3.9691050989995347,0.014176611000038974,3.9832817099995736,SetFit,40,wikinews,distiluse-base-multilingual-cased-v2,20260220_010130
"DeepSAD (SetFit, k=40)",DeepSAD,200,0.9420210563671852,0.5690230336186166,4.815710060999663,0.014427481999518932,4.830137542999182,SetFit,40,wikinews,distiluse-base-multilingual-cased-v2,20260220_010130
MLP (Original),MLP,5,0.845300762997575,0.2680138173379805,3.9157208319993515,0.5303162949994658,4.446037126998817,Original,0,wikinews,distiluse-base-multilingual-cased-v2,20260220_010130
MLP (Original),MLP,10,0.8257378600579641,0.19352540880501176,3.6804791310005385,0.4451978039996902,4.125676935000229,Original,0,wikinews,distiluse-base-multilingual-cased-v2,20260220_010130
MLP (Original),MLP,20,0.8185958478736618,0.27339184213677437,4.770905815000333,0.4395131660003244,5.210418981000657,Original,0,wikinews,distiluse-base-multilingual-cased-v2,20260220_010130
MLP (Original),MLP,50,0.887413497367954,0.3469437996806209,3.7296411719999014,0.43516569399980654,4.164806865999708,Original,0,wikinews,distiluse-base-multilingual-cased-v2,20260220_010130
MLP (Original),MLP,100,0.9082628497072218,0.3567507362418136,3.6897550899993803,0.5243328070000643,4.214087896999445,Original,0,wikinews,distiluse-base-multilingual-cased-v2,20260220_010130
MLP (Original),MLP,200,0.9314485124504643,0.4945878370402993,4.718278454999563,0.4384554810003465,5.15673393599991,Original,0,wikinews,distiluse-base-multilingual-cased-v2,20260220_010130
"MLP (SetFit, k=40)",MLP,5,0.9047731708759685,0.4384769334962326,4.458404120000523,0.44568197799981135,4.9040860980003345,SetFit,40,wikinews,distiluse-base-multilingual-cased-v2,20260220_010130
"MLP (SetFit, k=40)",MLP,10,0.9120334772579405,0.37318698387098415,4.094842092000363,0.6133133560006172,4.70815544800098,SetFit,40,wikinews,distiluse-base-multilingual-cased-v2,20260220_010130
"MLP (SetFit, k=40)",MLP,20,0.9146950967055066,0.4999679039907879,4.114495349999743,0.43976477300020633,4.554260122999949,SetFit,40,wikinews,distiluse-base-multilingual-cased-v2,20260220_010130
